#Language,ENGLISH
#Location,en
#Image,en
#A000010Text,<color=#0055FF>{0}</color>/{1} Milking Count
#A000011Text,<color=#0055FF>{0}</color>/{1} Growth Count
#A000012Text,<color=#0055FF>{0}</color>/{1} Shower Count

#A000013Text,<color=#0055FF>{0}</color>/{1} Rooms Built
#A000014Text,<color=#0055FF>{0}</color>/{1} Rooms Demolished
#A000021Text,<color=#0055FF>{0}</color>/{1} Milk Sales
#A000022Text,<color=#0055FF>{0}</color>/{1} Glory Hole Usage
#A000023Text,<color=#0055FF>{0}</color>/{1} Service Room Usage
#A000024Text,<color=#0055FF>{0}</color>/{1} Bestiality Shows
#A000025Text,<color=#0055FF>{0}</color>/{1} Birth Shows

#A000026Text,<color=#0055FF>{0}</color>/{1} Dismantling Count
#A000027Text,<color=#0055FF>{0}</color>/{1} By-Product Count

#A000028Text,<color=#0055FF>{0}</color>/{1} Items Crafted
#A000030Text,<color=#0055FF>{0}</color>/{1} Items Used

#A000031Text,Achieved Altar Unlocked
#A000032Text,Achieved <color=#0055FF>{0}</color>/{1} Soul Conversions
#A000033Text,Achieved <color=#0055FF>{0}</color>/{1} Resurrections Succeded
#A000034Text,Achieved <color=#0055FF>{0}</color>/{1} Resurrections Failed
#A000035Text,Achieved Strong Resurrection Sequelae
#A000036Text,Achieved Resurrection Sequelae
#A000037Text,Achieved Weak Resurrection Sequelae
#A000038Text,Achieved Perfect Resurrection
#A000039Text,Achieved <color=#0055FF>{0}</color>/{1} trait inheritances

#A000040Text,<color=#0055FF>{0}</color>/{1} Purchases
#A000041Text,<color=#0055FF>{0}</color>/{1} Sales
#A000042Text,<color=#0055FF>{0}</color>/{1} Item Sales

#A000047Text,Reached <color=#0055FF>{0}</color>/{1} Gold
#A000048Text,Went Into Negative Gold
#A000049Text,<color=#0055FF>{0}</color>/{1} Gold Spent (Day)
#A000050Text,Playtime of <color=#0055FF>{0}</color>/{1} Minutes

#A000052Text,Reached <color=#AE37FF>Depravity Stage {0}/{1}</color>
#A000053Text,<color=#AE37FF>{0}</color>/{1} of Depravity Stage 1
#A000054Text,<color=#AE37FF>{0}</color>/{1} of Depravity Stage 2
#A000055Text,<color=#AE37FF>{0}</color>/{1} of Depravity Stage 3
#A000056Text,<color=#AE37FF>{0}</color>/{1} of Depravity Stage 4
#A000057Text,<color=#AE37FF>{0}</color>/{1} of Depravity Stage 5
#A000058Text,<color=#0055FF>{0}</color>/{1} Growth Count
#A000059Text,<color=#0055FF>{0}</color>/{1} VIP Room Usages
#A000060Text,<color=#0055FF>{0}</color>/{1} VVIP Room Usages
#A000061Text,<color=#0055FF>{0}</color>/{1} Pixies Created
#A000062Text,Crafted <color=#0055FF>{0}</color>/{1} Times
#A000063Text,Guided <color=#0055FF>{0}</color>/{1} Clients
#A000064Text,Used <color=#0055FF>{0}</color>/{1} Condoms & LoveGels
#A000065Text,Bought <color=#0055FF>{0}</color>/{1} Cosmetic Potions
#A000066Text,Unlocked Dismantling
#A000067Text,Unlocked Laboratory
#A000068Text,Unlocked Brothel
#A000069Text,Flora's Favour <color=#0055FF>{0}</color>/{1}
#A000070Text,Noel's Favour <color=#0055FF>{0}</color>/{1}
#A000071Text,Sena & Lena's Favour <color=#0055FF>{0}</color>/{1}
#A000072Text,Amilia's Favour <color=#0055FF>{0}</color>/{1}

#SmallFurrySlave,Small Furry Slave
#Horse,Horse
#SellToMarket,Can be sold or dismantled.

// 0.8

#Hotkeys,HOTKEYS
#Hotkey1,Move Up
#Hotkey2,Move Left
#Hotkey3,Move Down
#Hotkey4,Move Right
#Hotkey5,Pause & Play
#Hotkey6,Speed
#Hotkey7,Achievement
#Hotkey8,Upgrade
#Hotkey9,Inventory
#Hotkey10,Construction
#Hotkey11,Unit
#Hotkey12,Amilia
#Hotkey13,Flora
#Hotkey14,Noel
#Hotkey15,Sena&Lena
#Hotkey16,Change Estate
#DragonianSlave,Dragonian Slave

// 0.9

#TraitListTitle,Trait Selection
#None,None
#CommissionLook,Appearance Settings
#CommissionTrait,Traits Settings
#CommissionRaceTraitTitle,Racial Trait Settings
#CommissionRaceTrait1,RaceTrait1
#CommissionRaceTrait2,RaceTrait2
#CommissionTraitTitle,Trait Settings
#CommissionTrait1,Trait1
#CommissionTrait2,Trait2
#CommissionTrait3,Trait3
#CommissionTrait4,Trait4
#CommissionButton,Request
#BigMonster,Big Monster
#Appearance_PenisHair,Penis Hair
#Appearance_BodyHair,Body Hair
#Capture,Capture Success
#CommissionPrice,Time {0}day <sprite index=1> {1}
#BeingCommissioned,Order In Progress

#ByProduct,By-product

#LabelFather,Father
#LabelMother,Mother
父,Father
母,Mother
#HealthLabel,Health
#ExhaustionLabel,Exhaustion
#DepravationLabel,Depravity
#Depravity,Depravity
#DepravationLevelFormat,Stage {0}

#TypeFormat,{0} TYPE

#IsPregnant,Pregnant

#NoneName,Nameless

#Upgrade,Upgrade
#Build,Build
#Unit,Unit

#VersionError,Invalid Version

#Reputation,Repute

#VoiceType,Voice

#CannotInTutorial,Not available in tutorial.

#IsPayable,Payable

#MarketRateEventText,Market prices of the selected<BR>product will be fixed for one day.<BR><color=#E07369>50%</color> at purchase, <color=#63E057>150%</color> at sale.

#PixyIsWaiting,Do I have a place to return to?
#PixyExists,Pixy is already assigned.

#Chain,Chain
#Chain0,Off
#Chain1,On
#ChainText,Chain can only be taken off if they are corrupted.
#Clothes,Clothes
#Clothes0,Off
#Clothes1,On

#IsCompleted,Completed
#IsWorking,In Progress
#Production,Production

#MarketRateSellingPrice,Selling price
#MarketRateBuyingPrice,Buying price
#MarketRateColorDayFormat,Time remaining: {0} days

#Customize,CUSTOMIZE

#Event_1,{0} have risen In price
#Event_1_Text,There's a shortage of {0} on the market.<BR>The prices increase by 20% for {1:0} day(s).
#Event_2,{0} have dropped In price
#Event_2_Text,There's oversupply of {0} on the market.<BR>The prices decrease by 20% for {1:0} day(s).
#Event_3,Best Deals
#Event_3_Text,Best deals are available.
#Event_37,Are You Even Working?
#Event_37_Text,Amelia is suspicious if you are really working.<BR>You cannot purchase monsters and slaves for {0:0.0} days.
#Event_38,Freeeeedom!!!
#Event_38_Text,Some of the slaves have escaped.<BR>Number of escapees: {0}<BR>Repute -{1}
#Event_43,Sensitivity 3000x
#Event_43_Text,The use speed of your brothel and its offers both increase by 50% for half a day after using the item.
#Event_44,Over-dismantled
#Event_44_Text,Flora's dismantling dolls are ignoring her!<BR>Failed to get a by-product.
#Event_45,This Is A Black Company!
#Event_45_Text,Flora is overworked.<BR>Dismantling is unavailable for {0:0} days.
#Event_46,Slip-up
#Event_46_Text,Noel made a weighing mistake.<BR>The produced item was ruined.
#Event_47,Noel Is On Drugs
#Event_47_Text,Noel inhaled some drugs during her experiments.<BR>Lab is unavailable for {0:0} days.
#Event_48,I Am Generous
#Event_48_Text,It seems that you're struggling getting<BR>new slaves, so I'm making a special offer for you:<BR>human slave in the first slot costs 300 Gold.
#Event_49,Brothel Is Not Entertaining
#Event_49_Text,Rumors say that your brothel dosen't have a variety of facilities.<BR>For {0} days, its reputation slowly decreases.
#Event_50,No Stock
#Event_50_Text,The market has run out of goods.<BR>No supply for {0} days.

#CountOfCondomToBuyFormat,Condoms: <color=#63E057>{0}</color>
#CountOfLoveGelToBuyFormat,LoveGels: <color=#63E057>{0}</color>

#BuyText,Do you want to buy?

#Cient,Client
#Abortion,Abortion

#PreferenceFellatio,I want her to suck my dick.
#PreferencePussy,I just want to have sex.
#PreferenceAnal,I prefer some anal goodness.
#PreferencePaizuri,Do you provide boobs to fuck?
#PreferenceVip,Don't you see I am a VIP?!
#PreferenceVvip,Guide me to the VVIP room!!

#Maintenance,Maintenance -{0}

#Setting,Setting
#Apply,Apply

#Condom,Condom
#CondomText,An item to prevent STD in slaves.
#LoveGel,LoveGel
#LoveGelText,A lube to shorten intercourse time.
#Pixy,Pixie
#Applied,Applied
#Unapplied,Unapplied

#PixyLabel,Pixie Detail Options
#PixyHealth,Health Management
#PixyBirth,Delivery
#PixyBaby,Baby Transfer
#PixyMilk,Milking
#PixyDead,Corpse Disposal
#PixyShowFirst,Prioritize Birth Shows

#ClientCondomLabel,Client Condom Options
#ClientLoveGelLabel,Client LoveGel Options
#Client0Name,White Client
#Client0Text,STD: <color=#E07369>5%</color><BR>Individual traits: <color=#63E057>Conception Chance +5%</color>, <color=#E07369>Growth Time +5s</color>
#Client1Name,Red Client
#Client1Text,STD: <color=#E07369>10%</color><BR>Individual traits: <color=#63E057>Growth Time -5s</color>, <color=#E07369>Maintenance Cost +5G</color>
#Client2Name,Blue Client
#Client2Text,STD: <color=#E07369>10%</color><BR>Individual traits: <color=#63E057>Maintenance Cost -5G</color>, <color=#E07369>Growth Time +5s</color>
#Client3Name,Purple Client
#Client3Text,STD: <color=#E07369>100%</color><BR>Individual traits: <color=#E07369>all traits are negative</color>
#Client4Name,Gold Client
#Client4Text,STD: <color=#63E057>0%</color><BR>Individual traits: <color=#63E057>all traits are positive</color>

#Buy,Buy
#AutoBuy,Automatic Purchase

#MinotaurText,A huge, violent monster from ancient times.<br>Now extinct.
#SalamanderText,A giant ancient monster, the pinnacle of all living things.<br>Now extinct.

#ManagementEstate,Public<BR>Estate
#PrivateEstate,Private<BR>Estate

#MoveToManagementEstate,Move To Public Estate
#MoveToPrivateEstate,Move To Private Estate

#EstateFormat,{0} Estate
#MoveToEstateFormat,Move To {0} Estate
#Player,Player
#PlayerText,Player Character
#Management,Public

#PayText,Payment period.<BR><color=#AEFC9B>Click</color> to toggle payments list.

// CG

#SceneSlow,S
#SceneFast,F
#SceneUp,U
#SceneDown,D
#SceneLeft,L
#SceneRight,R
#SceneBoth,A
#SceneInside,I
#SceneOutside,O
#CumshotCount,Cumshots Count
#ClearSemen,Clear Semen

#IsSaving,Saving...
#IsLoading,Loading...

#ReportDay,Report for Day {0}
#ReportLabelSlaveList,Slave maintenance
#ReportLabelMonsterList,Monster maintenance
#ReportLabelProfitAndLossList,Profits & losses List
#ReportLabelRevenues,Revenues
#ReportLabelExpenses,Expenses
#ReportLabelProfit,Profits
#ReportLabelLoss,Losses
#ReportLabelProfitAndLoss,Profits & Losses
#ReportLabelProfitAndLossChart,Profits & Losses Chart
#ReportCount,x{0}
#ReportPurchaseList,Purchase List
#ReportLabelBorrow,Personal Loan
#ReportInterestRate,Interest Rate
#ReportBorrow,Loan
#ReportLoanPeriod,Loan Period
#ReportBorrowedGold,Principal
#ReportLoanPayment,Loan Payment
#ReportRepay,Repay
#ReportLabelCount,Count
#ReportLabelItem,Special Product
#ReportLabelItem1,Regular Product
#ReportLabelItem2,Limited Sale
#ReportLabelLoanCount,Loan Count
#ReportFormatCount,{0}
#ReportFormatDay,{0} Day
#ReportLabelGold,Gold

#Likeability,Favour

#L001Text,Buy Humans
#L002Text,Buy Elves
#L003Text,Buy Dwarves
#L004Text,Buy Furries
#L005Text,Buy Small Furries
#L006Text,Buy Dragonians
#L007Text,Sell Goblins
#L008Text,Sell Orcs
#L009Text,Sell Werewolves
#L010Text,Sell Minotaurs
#L011Text,Sell Salamanders
#L012Text,Market Manipulation

#L101Text,Dismantle Humans
#L102Text,Dismantle Elves
#L103Text,Dismantle Dwarves
#L104Text,Dismantle Furries
#L105Text,Dismantle Small Furries
#L106Text,Dismantle Dragonians
#L107Text,Dismantle Goblins
#L108Text,Dismantle Orcs
#L109Text,Dismantle Werewolves
#L110Text,Dismantle Minotaurs
#L111Text,Dismantle Salamanders
#L112Text,Create Pixies

#L201Text,Produce Tattoo Remover
#L202Text,Produce Health Potion
#L203Text,Produce Mammary Injection
#L204Text,Produce Disease Cure
#L205Text,Produce Ovum Recovery
#L206Text,Produce Fertility Medication
#L207Text,Produce Aphrodisiac
#L208Text,Produce Viagra
#L209Text,Produce Sensitivity 3000x
#L210Text,Produce Washer
#L211Text,Produce Slave
#L212Text,Produce Monster
#L213Text,Produce Big Monster

#L301Text,Consume Condom
#L302Text,Consume LoveGel
#L303Text,Buy Cosmetic Potion
#L304Text,Guide Client
#L305Text,Achieve Repute Level 1
#L306Text,Achieve Repute Level 2
#L307Text,Achieve Repute Level 3
#L308Text,Achieve Repute Level 4
#L309Text,Achieve Repute Level 5
#L310Text,Achieve Repute Level 6
#L311Text,Achieve Repute Level 7

// ToolTip

#FloraUnlock,Flora will be unlocked on the 11th day.
#NielUnlock,Noel will be unlocked on the 16th day.
#SenaLenaUnlock,Sena & Lena will be unlocked on the 21st day.

#AmiliaAction1Text,<color=#AEFC9B>Click</color> to open the market prices event window.
#AmiliaAction2Text,<color=#AEFC9B>Drop</color> slaves or monsters here to sell them.<BR><color=#AEFC9B>Click</color> to open the market prices window.
#AmiliaAction3Text,<color=#AEFC9B>Click</color> to bring in new slaves and monsters.
#FloraAction1Text,<color=#AEFC9B>Pixie</color> is being made.<BR>{0} / {1}
#FloraAction2Text,<color=#AEFC9B>Drop</color> a slave or a monster here to dismantle.
#NielAction1Text,<color=#AEFC9B>Drop</color> DNA here to create custom slaves or monsters.<BR><color=#AEFC9B>Click</color> to open the customization window.
#NielAction2Text,<color=#AEFC9B>Click</color> here to open the illustrated book window that combines items.

#TestText00,You can check the scenes of NPCs with this button.
#DemoText00,You cannot earn achievement points in the trial version.

#MarketRateColorText1,Slaves with <color=#{0}>{1}</color> hair considered valuable.
#MarketRateColorText2,Slaves with <color=#{0}>{1}</color> eyes considered valuable.
#MarketRateColorText3,Monsters with <color=#{0}>{1}</color> skin considered valuable.
#MarketRateColorText4,Monsters with <color=#{0}>{1}</color> eyes considered valuable.
#MarketRateColorText5, Market Prices +20%.

// Story Text

#StoryText00100,At the end of our usual deal the broker made me a strange offer.
#StoryText00150,She suggested we work together.
#StoryText00200,It's risky, but if I work with her, in the continent's top criminal organization,<br>I'll have opportunity to make a lot of money.
#StoryText00300,So I accepted her offer immediately.
#StoryText00350,I have nothing to lose after all...

#StoryText00400,Well...<BR>I need to put you through a test before I entrust the job to you.
#StoryText00500,Let's see if you can make profit for our organization.
#StoryText00600,After that I'll leave the management to you.
#StoryText00700,If you are profitable in <color=#FFFF00>50 days</color>, you can keep this place.
#StoryText00750,Don't worry, I'll help you at first.
#StoryText00760,Let's start by breeding and selling monsters.

#StoryText00800,You need cages for both monsters and slaves.
#StoryText00900,Build a slave cage.
#StoryText01000,Build a monster cage.

#StoryText01100,Good job, I'm gifting you a slave and a monster.
#StoryText01200,Try not to kill them off.
#StoryText01300,Slaves and monsters have different looks and races.
#StoryText01400,Also, each race has different traits, so try to breed the best slaves possible. 

#StoryText01500,<color=#FFFF00>Human</color> girls have few magic properties, but they make good whores.<BR>Individual traits: <color=#63E057>Conception Chance +5%</color>, <color=#63E057>Growth Time -5s</color>, <color=#E07369>Maximum Health -15</color>, <color=#E07369>Maximum births -3</color>
#StoryText01600,<color=#FFFF00>Goblins</color> are a common race that has a short mating time.<BR>Individual traits: <color=#63E057>Growth Time -5s</color>, <color=#E07369>Conception Chance -5%</color>

#StoryText02550,Now let me explain you how to <color=#FFFF00>breed</color> them.
#StoryText02600,First build a breeding room.
#StoryText02700,Then move the monster into the room.
#StoryText02800,And finally move the slave into the same room.
#StoryText02900,Here we go.<BR>They should take it from here. Once she is pregnant, make full use of the offspring.

#StoryText03000,Now let's talk about <color=#FFFF00>selling</color> and <color=#FFFF00>buying</color>.
#StoryText03100,If you want to <color=#FFFF00>sell slaves or monsters</color>, drag them to my <color=#FFFF00>carriage</color>.

#StoryText03200,Want to buy a new product?
#StoryText03300,One moment...
#StoryText03400,I work during the <color=#FFFF00>day</color> hours as a legitimate <color=#FFFF00>slave</color> trader.
#StoryText03500,If you want to purchase a <color=#FFFF00>monster</color>, wait until <color=#FFFF00>night</color>.
#StoryText03600,That's because trading monsters is frowned upon.
#StoryText03700,If you want to buy a monster or a slave, just <color=#FFFF00>drag</color> the product and <color=#FFFF00>drop</color> them into the <color=#FFFF00>right room</color>.
#StoryText03800,You can also quickly <color=#FFFF00>sell and buy</color> them using this <color=#FFFF00>quick menu</color>.

#StoryText25200,From now on, I will make sure to receive <color=#FFFF00>reimbursement</color> once <color=#FFFF00>every 5 days</color>.
#StoryText25300,But rather than money, I prefer <color=#FFFF00>monsters</color>.
#StoryText25400,So I will let you provide them to me instead.
#StoryText25500,Amilia waits for a <color=#FFFF00>monster acquisition</color> once <color=#FFFF00>every 5 days</color>.
#StoryText25600,The monsters to be given will be mentioned by Amilia in advance,<br>and on the 5th day, you must <color=#FFFF00>pay by transferring the monsters to her</color>.
#StoryText25700,If you <color=#FFFF00>fail even a single payment</color>, it will be <color=#FF0000>Game Over</color>.

#StoryText05000,Have you finished? Manage it well until <color=#FFFF00>day 50</color>.
#StoryText05100,If you make a lot of money, we will let you keep this place.
#StoryText05200,You can also enjoy watching the slaves breed many children.
#StoryText05300,If the profits are huge, you can even take over the organization.
#StoryText05350,Oh, and lastly, don't mind the basement, as it was built by the previous owner and doesn't mean much.
#StoryText05400,Then do your best, my dear new co-worker♥

#StoryText06500,The slaves can <color=#FFFF00>infect monsters</color> and eventually <color=#550000>die</color>.
#StoryText06600,Please note that <color=#FFFF00>infected monsters</color> gain <color=#FF0000>erectile dysfunction</color> and can no longer reproduce.

#StoryText12200,Let me introduce you to my <color=#FFFF00>business partner</color> here.
#StoryText12300,Her name is <color=#C27AEB>Flora</color>. She'll be in charge of dismantling monsters and slaves.
#StoryText12400,Nice to meet you~
#StoryText12500,If you <color=#FFFF00>dismantle</color> them, you'll get <color=#FFFF00>by-products</color>.
#StoryText12600,<color=#FFFF00>By-products</color> can be <color=#FFFF00>sold</color> or used in <color=#FFFF00>item making</color>.
#StoryText12700,Now you know.<br>So please call her whenever you need her services.
#StoryText12800,Don't shy from doing it often.

#StoryText12900,Hello~!
#StoryText13000,I'll show you how to use my dismantling services.
#StoryText13100,<color=#FFFF00>Drag&drop monsters and slaves</color> here and they will be queued for <color=#FFFF00>dismantling</color>.
#StoryText13200,Once the process is complete, you can obtain rare <color=#FFFF00>by-products</color>.
#StoryText13210,If you dismantle a lot, a special <color=#FFFF00>pixie</color> will be created.
#StoryText13220,Pixies are good at helping and will <color=#FFFF00>automatically manage slaves</color>.
#StoryText13300,Grinding up creatures makes me so wet. Hurry up and make a lot of pixies!

#StoryText13400,Let me introduce you to my other <color=#FFFF00>business partner</color>.
#StoryText13500,Her name is <color=#4DF4E4>Noel</color>.<br>She'll be responsible for the synthesis of potions and elixirs.
#StoryText13600,Umm, good day.
#StoryText13700,She can <color=#FFFF00>make various items</color> by <color=#FFFF00>combining by-products</color>.
#StoryText14000,Make lots of useful potions.
#StoryText14100,Call me when you decide what to make.

#StoryText14200,Thank you for wasting your time on someone like me.
#StoryText14300,I will now show you how to use my services.
#StoryText14400,Click on this dusty <color=#FFFF00>cauldron</color> to see what can be made.
#StoryText14500,<color=#FFFF00>Potions</color> can be synthesized from there.
#StoryText14600,Once their production is <color=#FFFF00>complete</color>, items will be <color=#FFFF00>acquired automatically</color>.
#StoryText14800,Let's start experimenting!

#StoryText14900,You can use achievement points and upgrade NPC capabilities.
#StoryText15000,There is no order of upgrades, you can do it however you want.

#StoryText16400,A new above-ground facility has been added.
#StoryText16600,From now on, this place will provide new services to our clients.

#StoryText16700,It's your deadline now.
#StoryText16800,It seems you have failed to make a profit. The opposite, in fact.
#StoryText16900,Hmm... I think I misjudged you.
#StoryText17000,It can't be helped...
#StoryText17100,You must be disposed of now.
#StoryText17200,Then- goodbye...

#StoryText17300,Not bad.
#StoryText17400,You have succeeded.
#StoryText17500,Let's do it just as well in the future...
#StoryText17600,My dear co-worker♥
#StoryText17700,You can now enjoy free-play mode.
#StoryText17800,There's still a lot possibilities to the game. Thanks for playing!

#StoryText04500,Looks like the slave got <color=#FFFF00>pregnant</color>. Wonderful! Slaves love being impregnated against their will.
#StoryText04600,Build a delivery room to give <color=#FFFF00>birth</color> to new girls and monsters.
#StoryText04700,If the <color=#FFFF00>father</color> is a <color=#FFFF00>monster</color>, the <color=#FFFF00>baby</color> will be <color=#FFFF00>monster</color> too. The same goes for human fathers. 
#StoryText04800,Build a delivery room.
#StoryText04900,Move the slave to the delivery room for her to give birth.

#StoryText06700,The slave have given birth to a baby.
#StoryText06710,Move the child to the cage.
#StoryText06800,You can <color=#FFFF00>pump breast milk</color> from pregnant or recently pregnant slaves.
#StoryText06900,Let me show you how to do it.
#StoryText07000,Build a milking room first.
#StoryText07100,Move the slave to the milking room.
#StoryText07200,Breast <color=#FFFF00>milk</color> is produced when a slave is <color=#FFFF00>pregnant or after she gives birth</color>.

#StoryText07300,Click on the milk tank to collect a milk bottle.
#StoryText09500,Clicking on the milk tank inside the milking room allows you to receive the milk.
#StoryText09600,The tank stores a large amount of milk, so click on it to get milk as needed.

#StoryText09700,Slaves' <color=#AA0000>health decreases</color> when breeding with monsters and they <color=#550000>die</color> when it reaches 0.
#StoryText09800,It's good idea to <color=#FFFF00>restore their health</color> by letting the them rest in a <color=#FFFF00>slave cage</color> before they die out.

#StoryText25800,I have received the delivery.
#StoryText25900,Well done. In return, I'll reward you.
#StoryText26000,Select a <color=#FFFF00>slave category</color> to be <color=#FFFF00>special offer</color>.
#StoryText26100,You could <color=#FFFF00>buy at 50%</color> and <color=#FFFF00>sell at 150%</color> for the category of your choice.
#StoryText26200,I will give you this offer for the entire day.
#StoryText26300,Here's your next goal...
#StoryText26400,See you in five days.

#StoryText27300,Thanks to your hard work, a <color=#FFFF00>pixie</color> was created.
#StoryText27400,You can take care of the slaves more easily if you use them~

#StoryText27500,If you <color=#FFFF00>dismantle</color> more than a <color=#FFFF00>certain number of creatures</color>,<br>a <color=#FFFF00>pixie</color> is created and it will take care of your slaves automatically.
#StoryText27600,Pixies freely fly around and perform the following services:
#StoryText27900,When a slave's health falls below a certain value, she's moved<br>to a nearby slave cage to recover and then back to the original room.
#StoryText28000,When a slave becomes pregnant, she's moved to a nearby<br>delivery room to give birth then back to the original room.
#StoryText28050,Babies are moved from delivery rooms to an empty cage.
#StoryText28100,When the slave's milk is full, she is moved to a nearby<br>milking room for milking then back to the original room.
#StoryText28200,One pixie can only handle one task at a time, and as number<br>of slaves and monsters increases, more of them may be needed.

#StoryText29100,Oh, did you get something interesting?
#StoryText29200,You can use this DNA to create <color=#FFFF00>monster or slave</color> with <color=#FFFF00>randomized traits</color>.
#StoryText29250,Appearance and traits are random. If you get lucky, you can get a super-slave.
#StoryText29300,If you put the DNA here, it can become whatever you want,<br>whether it's a girl or a monster~
#StoryText29400,You can get special <color=#FFFF00>DNA</color> items from <color=#FFFF00>dismantling</color>.<br>If you offer them to Noel, you can create slaves or monsters with a variety of traits.
#StoryText29500,There are <color=#FFFF00>monsters</color> that can only be obtained<br>through <color=#FFFF00>origin DNA</color>, so try to get it.

#StoryText29600,Darling~, what you ordered is complete~
#StoryText29700,Here you go~

#StoryText29800,Oh, long time no see?
#StoryText29900,You can make anything with this~
#StoryText30000,Even if they got <color=#FFFF00>extinct</color> in ancient times~
#StoryText30100,If you use <color=#FFFF00>origin DNA</color>, you can create any slaves or monsters, and you can also create <color=#FFFF00>large monsters</color> that got extinct.
#StoryText30200,<color=#FFFF00>Large monsters</color> require a <color=#FFFF00>dedicated cage</color> and <color=#FFFF00>dedicated breeding room</color> and breeding them <color=#FFFF00>takes a lot of work</color>, such as finding a special slave with <color=#FFFF00>Max Concurrent Fetuses</color> trait equal to <color=#FFFF00>3 or more</color>. That's why their <color=#FFFF00>price is very high</color>.

#StoryText30400,This is an elven slave sold by our company.
#StoryText30600,This is a furry slave sold by our company.
#StoryText30700,This is a small furry slave sold by our company.
#StoryText30800,This is a dragonian slave sold by our company.
#StoryText30900,I hope you enjoy breeding her.

#StoryText31000,A new product has been added.
#StoryText31100,It was difficult to secure.
#StoryText31200,<color=#FFFF00>Elves</color> are a magical race and have excellent physical strength. They are always at odds with dwarves. Also they value virginity and consider it shameful to lose it.<BR>Individual traits: <color=#63E057>Maintenance Cost -5G</color>, <color=#63E057>Max Health +15</color>, <color=#E07369>Conception Chance -5%</color>, <color=#E07369>Growth Time -5s</color>, <color=#E07369>Multiple Pregnancy -1</color>

#StoryText31300,It was pretty hard to find where they were hiding because they dig so deeply underground.
#StoryText31400,<color=#FFFF00>Dwarves</color> are a tribe with excellent physical abilities and recover quickly. They don't get along well with elves. Also they think it's a virtue to be prolific.<BR>Individual traits: <color=#63E057>Conception Chance +5%</color>, <color=#63E057>Maximum Births +3</color>, <color=#63E057>Multiple Pregnancy +1</color>, <color=#E07369>Growth Time +5s</color>, <color=#E07369>Maintenance Cost +5G</color>

#StoryText31500,It was pretty hard to catch them because they always running around in the woods.
#StoryText31600,<color=#FFFF00>Furries</color> are a multi-ethnic race. They are physically weak and evolved to spread their genes.<BR>Individual traits: <color=#63E057>Conception Chance +10% (All)</color>, <color=#63E057>Multiple Pregnancy +1(Cats)</color>, <color=#63E057>Growth Time -10s(Fox)</color>, <color=#E07369>Max Health -30(All)</color>, <color=#E07369>Growth Time +10s(Cats)</color>, <color=#E07369>Maintenance Cost +10G(Foxes)</color>

#StoryText31700,It was quite difficult to catch these hiding in the woods.
#StoryText31800,<color=#FFFF00>Small furries</color> are a multi-ethnic race. They are physically weak and evolved to spread their genes.<BR>Individual traits: <color=#63E057>Conception Chance +10% (All)</color>, <color=#63E057>Maximum Births +6(Bunnies)</color>, <color=#63E057>Maintenance Cost -10G(Sheep)</color>, <color=#E07369>Max Health -30(All)</color>, <color=#E07369>Growth Time +10s(Sheeps)</color>, <color=#E07369>Maintenance Cost +10G(Bunny)</color>

#StoryText31900,These were really hard to catch. 
#StoryText32000,<color=#FFFF00>Dragonians</color> are a strong race which prioritizes positive traits.<BR>Individual traits: <color=#63E057>Conception Chance +10%</color>, <color=#63E057>Growth Time -10s</color>, <color=#63E057>Max Health +30</color>, <color=#63E057>Maximum Births +6</color>, <color=#E07369>Maintenance Cost +10G</color>, <color=#E07369>Multiple Pregnancy -1</color>

#StoryText32100,It's hard to catch monsters this big.
#StoryText32200,<color=#FFFF00>Orcs</color> are slow to breed but their youths grow faster.<BR>Individual traits: <color=#63E057>Conception Chance +5%</color>, <color=#E07369>Breeding time +5s</color>

#StoryText32300,They are very rough, so please be careful while handling them.
#StoryText32400,<color=#FFFF00>Werewolfs</color> mating rate is very high and their children grow very fast.<BR>Individual traits: <color=#63E057>Breeding time -5s</color>, <color=#E07369>Slave's health consumption during breeding +0.05</color>

#StoryText09900,This slave has <color=#770000>died</color>.
#StoryText10000,Dead slaves <color=#FFFF00>decay</color> over time, spreading <color=#AA0000>diseases</color>.
#StoryText10100,Other slaves and monsters in the room may get <color=#AA0000>sick</color>.

#StoryText10200,Let's build a <color=#FFFF00>morgue</color> and bury the slave.
#StoryText10300,Build a morgue.
#StoryText10400,Move the slave to the morgue. 

#StoryText10500,When a room is contaminated, click the cleaning icon to disinfect it.
#StoryText10600,If there's no space in the morgue, <color=#FFFF00>Amilia can dispose of the body</color> for you.<BR>However, in this case, <color=#FFFF00>additional cost</color> is incurred.

#StoryText32500,Depravity of slave has risen a little, see?
#StoryText32600,The higher their depravity, the more obediently they will fulfill their duties.
#StoryText32700,Selling depraved slaves is also more profitable.
#StoryText32800,Good luck with achieving that.

#StoryText32900,Slaves have the state of depravity.
#StoryText33000,<color=#AE37FF>Depravity</color> increases through <color=#FFFF00>sex, childbirth, and milking</color>. Higher depravity increases the <color=#FFFF00>slave price</color> and <color=#FFFF00>offers for services</color> at the brothel. Those slaves also have their <color=#FFFF00>traits improved</color>.
#StoryText33100,Higher depravity makes it less likely for the slave to escape from the brothel. 

#StoryText33200,Slaves have various stats.
